developer,price,year
"Jackbox Games, Inc.",1.99,2003
"Jackbox Games, Inc.",2.99,1996
"Jackbox Games, Inc.",2.99,1997
"Jackbox Games, Inc.",2.99,1998
"Jackbox Games, Inc.",2.99,1997
"Jackbox Games, Inc.",2.99,1995
"Jackbox Games, Inc.",2.99,1996
Lucky Frame,4.99,2013
Infinity Ward,49.99,2013
Firaxis,4.99,2013
Transhuman Design,9.99,2013
"Jackbox Games, Inc.",2.99,1998
Ubisoft - San Francisco,2.99,2013
"Skybox Labs,Forgotten Empires",9.99,2013
Qcf Design,14.99,2013
Qcf Design,9.99,2013
Qcf Design,4.99,2013
B-Alive,19.99,2013
"Hopoo Games, Llc",9.99,2013
Hanako Games,9.99,2013
The Indie Stone,14.99,2013
Filament Games,4.99,2013
Arkedo,6.99,2013
Exosyphen Studios,1.99,2013
Exor Studios,1.99,2013
"Double Eleven,Q-Games Ltd.",8.99,2013
"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",29.99,2013
"Wb Games Montreal,Splash Damage",4.99,2013
Farsight Studios,39.99,2013
Farsight Studios,39.99,2013
Farsight Studios,29.99,2013
Farsight Studios,29.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Toraiki,14.99,2013
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",9.99,2013
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",1.99,2013
Ubisoft - San Francisco,2.99,2013
2Play,9.99,2013
Space Bullet Dynamics Corporation,9.99,2013
Chronic Logic,6.99,2013
Paradox Development Studio,9.99,2013
Ubisoft - San Francisco,11.99,2013
Ubisoft - San Francisco,2.99,2013
Flyleap Studios Pty. Ltd.,14.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,7.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,7.99,2013
Triple.B.Titles,4.99,2013
Ubisoft Montreal,19.99,2013
Ubisoft Montreal,1.99,2013
Ubisoft Montreal,0.99,2013
Ubisoft Montreal,19.99,2013
8888888 Labs,14.99,2013
Ubisoft Montreal,1.99,2013
Polypusher Studios,4.99,2013
Ubisoft Montreal,1.99,2013
Ubisoft Montreal,0.99,2013
2K Marin,4.99,2013
Axis Game Factory Llc,19.99,2013
Ubisoft Montreal,0.99,2013
Xtal Sword,4.99,2013
Space Budgie,0.99,2013
Spellbound,4.99,2001
Neko Entertainment,11.99,2013
Dovetail Games,19.99,2013
Victory Works,19.99,2013
Renegade Kid,9.99,2013
Dotemu,6.99,1997
Deep Silver Volition,1.99,2013
Tml Studios,9.99,2012
Storybird,6.99,2013
Darkling Room,4.99,2004
Darkling Room,4.99,2002
Alawar,6.99,2013
"Wb Games Montreal,Splash Damage",6.99,2013
Simon Roth,24.99,2013
Ubisoft - San Francisco,11.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Ubisoft - San Francisco,2.99,2013
Dovetail Games,6.99,2013
Studio V5,29.99,2013
Revolution Software Ltd,24.99,2014
Allgraf,14.99,2013
Harvester Games,9.99,2012
D-Pad Studio,1.99,2013
Awesome Games Studio,4.99,2013
Illwinter Game Design,34.99,2013
Cryptic Studios,0.0,2013
Clickteam,99.99,2013
Upper Byte,9.99,2013
Crescent Moon Games,6.99,2013
Realmforge Studios,5.99,2013
Agharta Studio,9.99,2013
Seethrough Studios,5.99,2014
Ubisoft - San Francisco,7.99,2013
Ubisoft - San Francisco,2.99,2013
Nival,0.0,2013
Ubisoft - San Francisco,2.99,2013
Scs Software,1.99,2013
Ubisoft Montreal,2.99,2013
Coffee Stain Studios,4.99,2013
Wildtangent,7.99,2005
2Darray,9.99,2013
Dreamatrix,9.99,2013
Netcore Games,6.99,2012
The Farm 51,6.99,2013
"The Collective,General Arcade",14.99,2006
Farsight Studios,39.99,2013
Farsight Studios,29.99,2013
Spicyhorse,0.99,2014
Paradox Interactive,4.99,2013
Braindistrict,39.99,2013
United Independent Entertainment Gmbh,9.99,2013
United Independent Entertainment Gmbh,9.99,2013
Wales Interactive,6.99,2013
"Gravity, Inc.",49.99,2013
Exato Games Studio,0.99,2013
Spicyhorse,0.99,2014
Spicy Horse Games,0.99,2014
Spicy Horse Games,0.99,2014
Spicy Horse Games,0.99,2014
Spicy Horse Games,0.99,2014
Spicyhorse,0.99,2014
Spicyhorse,0.99,2014
Ubisoft - San Francisco,11.99,2014
Stainless Games,2.99,2014
Mindware Studios,4.99,2005
Interdimensional Games Inc,9.99,2014
Messhof,9.99,2014
"Hassey Enterprises, Inc.",4.99,2014
Ronimo Games,3.99,2014
Yakiniku Banzai,9.99,2012
Deep Silver Volition,2.99,2014
Ubisoft Sofia,19.99,2014
Krossrails,39.99,2014
Ubisoft Sofia,1.99,2014
Winter Wolves,6.99,2014
Arc System Works,9.99,2006
Rage Software,9.99,2003
"Thq Nordic,Mind Over Matter Studios",19.99,2014
Sumom Games,4.99,2014
Alan Edwardes,0.0,2014
"Thq Nordic,Mind Over Matter Studios",4.99,2014
Tale Of Tales,6.99,2013
New World Interactive,9.99,2014
Xiotex Studios Ltd,3.99,2014
Ultra Runaway Games,4.99,2013
Xiotex Studios,9.99,2014
"Elias Viglione,Jussi Kukkonen",5.99,2014
Double Fine Productions,6.99,2014
Avidly Wild Games,14.99,2014
Jason Rohrer,15.99,2014
Mighty Rabbit Studios,6.99,2014
Bumpkinbrothers,9.99,2013
Dovetail Games,19.99,2014
Revultive Games,4.99,2014
Rage Software,9.99,2001
Grapefrukt Games,7.99,2014
Young Horses,14.99,2014
Degica,24.99,2014
"Dugan,Gabor,Electric Cafe",6.99,2014
Ubisoft - San Francisco,2.99,2014
Squid In A Box Ltd,0.99,2014
Power Up Audio,4.99,2014
Origin8,6.99,2010
Ubisoft - San Francisco,2.99,2014
"Culture Attack Studio,Tyler Doak",9.99,2013
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,11.99,2014
Idea Factory,14.99,2014
Gtgd,14.99,2014
Arc System Works,9.99,2014
Cateia Games,4.99,2014
Akella,9.99,2014
Limasse Five,14.99,2014
Milepost Simulations,39.99,2014
Paradox Development Studio,1.99,2014
Paradox Development Studio,1.99,2014
Twisted Pixel Games,9.99,2014
Basilisk Games,9.99,2014
Popcannibal,6.99,2014
"Snk Corporation,Dotemu",7.99,2014
Doppler Interactive,4.99,2014
Ludosity,3.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Shining Rock Software Llc,19.99,2014
Treasure,9.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,11.99,2014
Ubisoft - San Francisco,2.99,2014
Mumbojumbo,6.99,2014
Mumbojumbo,6.99,2014
Matthew Brown,2.99,2014
Matthew Brown,2.99,2014
Scs Software,9.99,2012
Screaming Bee,2.99,2014
Infinity Ward,14.99,2014
"Damian Sommer,Emily Carroll",9.99,2013
Paradox Development Studio,1.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,7.99,2014
Matt Roszak,11.99,2014
Last Dimension,6.99,2014
Ubisoft Montreal,14.99,2014
Mercurysteam,39.99,2014
Nomad Games,1.99,2014
Nomad Games,7.99,2014
Snowed In Studios,9.99,2014
Bandai Namco Studio Inc.,4.99,2014
United Independent Entertainment Gmbh,9.99,2014
Colossal Order Ltd.,12.99,2014
Nomad Games,3.99,2014
Squinkifer Productions,0.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Squinky And The Squinkettes,1.99,2014
Klei Entertainment,6.99,2014
"Daedalic Entertainment,Irresponsible Games",9.99,2014
Matt Thorson,14.99,2014
Ubisoft - San Francisco,2.99,2014
Burian Media Enterprises,4.99,2014
"International Games System, Co., Ltd.",9.99,2014
Full Control Studios,4.99,2014
Cloud 9 Studio,34.99,2014
Comipo! Llp,19.99,2014
Comipo! Llp,24.99,2014
Cloud 9 Studio,34.99,2014
Comipo! Llp,24.99,2014
Screaming Bee,9.99,2014
Tortuga Team,4.99,2014
Thomas Bowker,2.99,2014
Sherman3D,9.99,2014
Square Enix,9.99,2014
Vlambeer,9.99,2014
Bitsmith Games,4.99,2014
Doragon Entertainment,4.99,2014
Ubisoft - San Francisco,2.99,2014
"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",14.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Dovetail Games,19.99,2014
Coilworks,19.99,2014
Rob Howland,9.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Rob Howland,4.99,2014
Crystal Shard,2.99,2014
Pyxel Arts,9.99,2014
Zsk Progres S.C.,5.99,2008
Independent Arts Software,9.99,2014
Mercurysteam,0.99,2014
Mercurysteam,0.99,2014
Mercurysteam,0.99,2014
Ubisoft - San Francisco,2.99,2014
"World-Loom,Nitreal",9.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Tribute Games Inc.,19.99,2014
David Amador,4.99,2014
Ubisoft - San Francisco,11.99,2014
Bongfish Gmbh,1.99,2014
Ubisoft - San Francisco,2.99,2014
Dovetail Games,19.99,2014
Creative Assembly,14.99,2014
Mousechief,9.99,2014
Tragnarion Studios,1.99,2014
Subsoap,0.0,2014
Cranberry Production,9.99,2011
Eversim,9.99,2014
Artifex Mundi,9.99,2012
Jarhead Games,9.99,2004
Nikita,4.99,2007
1C Company,2.99,2010
K-D Lab,3.99,2004
Crioland,2.99,2009
Plastic Reality Technologies,3.99,2006
Infinity Ward,1.99,2014
Infinity Ward,3.99,2014
Infinity Ward,1.99,2014
Wzogi,4.99,2014
Scs Software,1.99,2014
Apeiron,9.99,2009
Nemoria Entertainment,4.99,2013
Opus,9.99,2014
Digifx Interactive,5.99,1996
Gtgd,0.99,2014
"Vanguard Games,343 Industries",2.99,2014
Xgen Studios,14.99,2013
Leadwerks Software,99.99,2014
Frozen Yak Entertainment,0.0,2014
Alawar,9.99,2014
Gamebell Studio,4.99,2014
Tml-Studios,24.99,2014
"Stephane Valverde,Leslie Valverde",9.99,2014
Ubisoft - San Francisco,2.99,2014
Inmatrix Ltd,29.96,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Franciscos,2.99,2014
Niels Bauer Games,9.99,2014
Quantized Bit,1.99,2014
Blueline Games,2.99,2014
Krita Foundation,9.99,2014
Dovetail Games,4.99,2009
Railsimulator.Com,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2014
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Broken Rules,9.99,2014
Humongous Entertainment,4.99,1996
Humongous Entertainment,4.99,1996
Humongous Entertainment,6.99,1992
Broken Rules,4.99,2014
Bumpkinbrothers,9.99,2014
Dl Softworks,6.99,2014
Humongous Entertainment,6.99,1996
Gogii Games,4.99,2014
Humongous Entertainment,6.99,1994
Astral Byte Ltd.,8.99,2014
Idea Factory,19.99,2014
Mad Otter Games,0.0,2014
Digital Tentacle,4.99,2014
Dmd Enterprise,1.99,2014
Microids,4.99,2014
9Heads Game Studios,1.99,2012
Games Up,4.99,2014
Altar Interactive,3.99,2003
1C Company,2.99,2004
"Saturn-Plus,Orion",2.99,2006
Creat Studio,2.99,2003
Dvs,2.99,2007
"Sir-Tech,Madlab Software",9.99,1994
Slitherine Ltd.,9.99,2011
Slitherine Ltd.,9.99,2010
Slitherine Ltd.,9.99,2013
Slitherine Ltd.,9.99,2013
Slitherine Ltd.,9.99,2012
Slitherine Ltd.,9.99,2013
Farsky Interactive,4.99,2014
"Play, Silden",2.99,2010
Black Cactus,9.99,2002
Somi,2.99,2014
Dirigo Games,5.99,2014
Aartform Games,19.99,2014
Microids,4.99,2014
Supersonic Software,4.99,2004
K-D Lab,6.99,1998
Gremlin Interactive,9.99,1996
Eutechnyx,9.99,2005
Artifex Mundi,9.99,2013
Hippomancer,4.99,2014
Apeiron,3.99,2006
Ubisoft Montréal,2.99,2014
Apeiron,4.99,2007
Bohemia Interactive,2.99,2000
Ticonblu,4.99,2014
Souvenir Circ.,7.99,2014
Eko Software,1.99,2014
Eagle Dynamics Sa,9.99,2014
Wingware,119.99,2014
Wingware,79.99,2014
Cateia Games,6.99,2014
Abstraction Games,9.99,2014
"Croteam,Alligator Pit",9.99,2014
Dovetail Games,19.99,2014
Homegrown Games,7.99,2014
Grip Digital S.R.O.,2.99,2014
Whole Hog Games,14.99,2014
Windybeard,3.99,2014
Minor Key Games,0.0,2012
Red Barrels,8.99,2014
Ubisoft - San Francisco,2.99,2014
Eldon Harris,24.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,7.99,2014
Black Cactus,9.99,2003
Daedalic Entertainment,19.99,2014
Carlo D'Apostoli Projects,4.99,2014
Volition Inc.,9.99,2014
Ageod,19.99,2013
Puny Human,4.99,2014
Positech Games,4.99,2014
"Smiteworks Usa, Llc",8.99,2014
Fistful Of Frags Team,0.0,2014
Steve Jarman,4.99,2014
"Bitmonster, Inc.",14.99,2014
"Smiteworks Usa, Llc",39.99,2014
Bedtime Digital Games,4.99,2014
"Nova Dimension,Naga Entertainment",5.99,2014
Mimimi Productions,19.99,2014
B-Alive Gmbh,9.99,2014
"Smiteworks Usa, Llc",24.99,2014
Gamepires,4.99,2014
Dancing Dragon Games,4.99,2010
Tml-Studios,24.99,2014
"Smiteworks Usa, Llc",5.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,7.99,2014
Dovetail Games,19.99,2014
Ubisoft - San Francisco,2.99,2014
Ronimo Games,4.99,2014
Longbow Games,14.99,2014
Digital Happiness,14.99,2014
Artifex Mundi,9.99,2013
Witan Entertainment,4.99,2009
Digital Happiness,5.99,2014
The Behemoth,14.99,2014
Arberth Studios,4.99,2008
Enter Skies,6.99,2014
Liquid Flower,9.99,2014
Casual Brothers,9.99,2014
Digitalmindsoft,29.99,2014
Gogii Games,4.99,2014
Gogii Games,4.99,2010
Humongous Entertainment,4.99,1994
Humongous Entertainment,6.99,1997
Graviteam,14.99,2014
Idea Factory,4.99,2014
Freegamer,4.99,2014
Humongous Entertainment,6.99,2001
Humongous Entertainment,6.99,2000
Humongous Entertainment,6.99,1998
Forever Entertainment S. A.,2.99,2014
Gamatic,4.99,2014
Alawar Entertainment,6.99,2013
Stage Clear Studios,9.99,2014
Digitalmindsoft,6.99,2014
Hypercane Studios,4.99,2014
Winter Wolves,14.99,2010
Psydra Games Llc,4.99,2014
Keybol,1.99,2014
Supergiant Games,9.99,2014
"神奈川電子技術研究所,Extreme",2.99,2014
Nabi Studios,0.0,2006
Dark Gaia Studios,5.99,2014
Roseportal Games,14.99,2014
Peoleo Entertainment,0.0,2014
Peoleo Entertainment,19.99,2014
Peoleo Entertainment,59.99,2014
Peoleo Entertainment,14.99,2014
Evilized Productions,1.99,2014
"Rusty Moyher,Shaun Inman,Matt Grimm",9.99,2014
Paradox Development Studio,6.99,2014
Paradox Development Studio,1.99,2014
Peoleo Entertainment,14.99,2014
Paradox Development Studio,1.99,2014
Full Control Studios,4.99,2014
Scs Software,1.99,2014
Appmania/I-Free,2.99,2013
K-D Lab,3.99,2006
Milkstone Studios,4.99,2014
Skyriver Studios,2.99,2007
Kadokawa Games / Grasshopper Manufacture,19.99,2014
Haemimont Games,19.99,2014
Étienne Périn,3.99,2014
Cobra Mobile,2.99,2013
"Smiteworks Usa, Llc",12.99,2014
"Smiteworks Usa, Llc",24.99,2014
Forever Entertainment S. A.,7.99,2014
Cobra Mobile,2.99,2013
"Smiteworks Usa, Llc",109.99,2014
Myrtilus Entertainment,5.99,2013
"Smiteworks Usa, Llc",19.99,2014
Koalabs,7.99,2014
Paradox Development Studio,1.99,2014
Paradox Development Studio,1.99,2014
Paradox Development Studio,9.99,2014
Paradox Development Studio,1.99,2014
Bohemia Interactive,19.99,2014
Sherman3D,9.99,2014
Bohemia Interactive,1.99,2014
11 Bit Studios,9.99,2014
"Adam Saltsman,Robin Arnott",4.99,2012
Schulenburg Software,7.99,2014
Scs Software,1.99,2014
Graveck,3.99,2014
Qubyte Interactive,6.99,2014
Humongous Entertainment,6.99,2000
Winter Wolves,19.99,2011
Idea Factory,4.99,2014
Kog,9.99,2014
Kog,39.99,2014
Artem Kotov,2.99,2014
Visual Entertainment And Technologies,16.99,2014
Endnight Games Ltd,14.99,2014
Targem Games,3.99,2003
Undead Labs,6.99,2014
Over The Moon,9.99,2014
Sport1 Gmbh,4.99,2014
Arctic Anteater,9.99,2014
Wastelands Interactive,14.99,2014
Wild Games Studio,1.99,2014
Uppercut Games Pty Ltd,9.99,2014
Snowbird Games,3.99,2014
Artifex Mundi,9.99,2013
"Alawar,Mirball Games",3.99,2013
Artifex Mundi,6.99,2013
Owl Cave,5.99,2014
Evolutionary Games,2.99,2014
Phosphor Games Studio,4.99,2014
Exkee,9.99,2014
Gaijin Games,9.99,2014
Gaijin Games,5.99,2014
Ovos,9.99,2014
Stage 2 Studios,19.99,2014
"Michael Todd Games,Yazar Media Group Llc",4.99,2014
"Trend, Soft Pro",39.99,2014
Microblast Games,0.99,2014
"Trend, Soft Pro",13.99,2014
"Trend, Soft Pro",13.99,2014
Smashgames,9.99,2014
"Trend, Soft-Pro",13.99,2014
"10Th Art Studio,Adventure Productions",6.99,2014
Gunnar Games,9.99,2013
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Gojira,4.99,2014
Ubisoft - San Francisco,2.99,2014
Anthony Case,8.99,2014
3F Interactive,0.99,2012
Ci Games,29.99,2014
Heydeck Games,2.99,2013
Sakura River Interactive,12.99,2014
Unfinished Pixel,4.99,2014
Spiders Studio,9.99,2014
Lost Decade Games,9.99,2014
North Side,14.99,2014
Goldhawk Interactive,24.99,2014
Xgen Studios,19.99,2011
Tequibo,8.99,2014
Crazy Moo Games,1.99,2014
Peter Cleary,9.99,2014
"Future Games,Unknown Identity",9.99,2003
Parseh Game Studio,14.99,2014
Colossal Order Ltd.,4.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Choice Of Games,6.99,2013
"Smiteworks Usa, Llc",7.99,2014
Silesia Games Sp. Z O.O.,4.99,2014
Blackmoon Design,7.99,2014
Reppo,4.99,2009
Cyanide Studio,9.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Infinity Ward,1.99,2014
Trion Worlds,59.99,2014
Trion Worlds,99.99,2014
Trion Worlds,39.99,2014
Trion Worlds,149.99,2014
Milestone S.R.L.,19.99,2014
Milestone S.R.L.,2.99,2014
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",19.99,2014
Nano Games,4.99,2014
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",12.99,2014
"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",12.99,2014
Milestone S.R.L.,5.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,7.99,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",4.99,2014
Rebellion,3.99,2014
Rebellion,3.99,2014
Rebellion,8.99,2014
Larian Studios,39.99,2014
Megafuzz,2.99,2014
Scs Software,0.99,2014
Scs Software,0.99,2014
Crytek,0.0,2014
"Oefun, Inc.",2.99,2014
Nomad Games,1.99,2014
Rdein,1.99,2014
Dovetail Games,4.99,2009
Sleepninja Games,7.99,2014
"Smiteworks Usa, Llc",5.99,2014
"Smiteworks Usa, Llc",5.99,2014
Game Dev Castle,7.99,2014
Hailstorm Games,9.99,2014
Wax Lyrical Games,1.99,2013
"Sideline Amusements,Gonzo Games",4.99,2014
Daedalic Entertainment,39.99,2014
North Of Earth,9.99,2014
3F Interactive,4.99,2013
Crunching Koalas,9.99,2014
"Smiteworks Usa, Llc",9.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,7.99,2014
Alawar,9.99,2012
Shaman Games Studio,6.99,2013
Two Desperados,9.99,2014
Microprose,6.99,2000
Really Slick,14.99,2014
Galhmac Game Studio,0.99,2013
Handmade Game,9.99,2014
Cryo Interactive,4.99,2001
Laminar Research,771.71,2014
Fixpoint Productions Ltd.,4.99,2014
"Xiaoyao,Betasparkuk",9.99,2014
Paradox Development Studio,4.99,2014
Paradox Development Studio,1.99,2014
Paradox Development Studio,1.99,2014
Lucky Frame,4.99,2014
Stainless Games,9.99,2014
"Elias Viglione,Jussi Kukkonen",2.99,2014
Subvert Games,0.0,2016
Evga,0.0,2014
Paradox Development Studio,1.99,2014
Adam Spragg,5.99,2014
Wayforward Technologies Inc.,19.99,2014
Eversim,19.99,2014
Stainless Games,4.99,2014
Stainless Games,4.99,2014
B-Alive Gmbh,6.99,2006
Ubisoft - San Francisco,2.99,2014
Rebellion,6.99,2014
Rebellion,3.99,2014
B-Alive Gmbh,3.99,2007
B-Alive Gmbh,0.99,2013
B-Alive Gmbh,3.99,2012
B-Alive Gmbh,3.99,2010
B-Alive Gmbh,3.99,2007
Lemondo Entertainment,2.99,2014
B-Alive Gmbh,19.99,2011
B-Alive Gmbh,3.99,2007
B-Alive Gmbh,0.99,2012
Highcastle Studios,4.99,2014
Winter Wolves,24.99,2012
Winter Wolves,0.99,2014
Nerd Monkeys®,5.99,2014
Paul Marrable,2.99,2014
"Elias Viglione,Jussi Kukkonen",4.99,2014
Celestial Games,5.99,2014
Microids,2.99,2001
Magicindie,9.99,2012
Shauntwilliams,9.99,2014
Hearthfire Studios,9.99,2014
Jumpcore Productions,14.99,2014
Fobti Interactive,4.99,2014
Wastelands Interactive,19.99,2014
Niels Bauer Games,3.99,2014
"Tom Stoffel,Puny Human",1.99,2014
Gato Salvaje S.L.,7.99,2014
"Alan Hazelden,Harry Lee",9.99,2014
New Reality Games,2.99,2014
Up Multimedia,14.99,2014
Galaxytrail,14.99,2014
"Fromsoftware, Inc",9.99,2014
Nom Nom Games,19.99,2014
Winter Wolves,0.99,2014
"Smiteworks Usa, Llc",9.99,2014
"Max Gaming Technologies, Llc",14.99,2014
Rob Howland,4.99,2014
"Fromsoftware, Inc",24.99,2014
Tribe Studios,0.0,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99,2014
Moonshot Games,4.99,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",6.99,2014
Isotope 244 Llc,14.99,2014
"Smiteworks Usa, Llc",12.99,2014
Relic Entertainment,3.99,2014
Relic Entertainment,3.99,2014
Relic Entertainment,3.99,2014
Relic Entertainment,3.99,2014
Relic Entertainment,3.99,2014
"Trion Worlds, Inc.",99.99,2014
The Lordz Games Studio,29.99,2012
Nerdook Productions,6.99,2014
Fireproof Games,4.99,2014
Dragonsix,4.99,2014
"Smiteworks Usa, Llc",5.99,2014
Elliptic Games,14.99,2014
"Smiteworks Usa, Llc",5.99,2014
"Elliptic Games,John Robert Matz",4.99,2014
"Redlynx, In Collaboration With  Ubisoft Shanghai, Ubisoft Kiev",4.99,2014
V-Axys,4.99,2014
Nihon Falcom,19.99,2014
Artifex Mundi,9.99,2011
Infinity Ward,1.99,2014
N94Games,0.99,2014
Masthead Studios Ltd,9.99,2014
Filament Games,4.99,2014
Narrow Monolith,2.99,2015
Sinclair Strange,0.99,2014
Free Lives,0.0,2014
Keen Games,14.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
Ubisoft - San Francisco,2.99,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99,2014
Little Worlds Interactive,6.99,2014
Ubisoft - San Francisco,2.99,2014
Spry Fox Llc,14.99,2014
Ubisoft - San Francisco,2.99,2014
"Smiteworks Usa, Llc",9.99,2014
Night Node,9.99,2014
Capcom,14.99,2014
Graviteam,14.99,2014
Childish Things,9.99,2014
Belsimtek,49.99,2014
Framelinenetwork Kft.,4.99,2014
Gnifrebel Games Ug,9.99,2014
Madia Entertainment,3.99,2004
Lonely Troops,3.99,2006
Evil Twin Artworks,24.99,2014
88Mm,9.99,2014
Ennoble Studios,6.99,2014
A Jolly Corpse,14.99,2014
Dovetail Games,19.99,2014
Shaunjs,5.99,2014
"Dan  Walters,Ceri Williams",3.99,2014
Nowhere Studios,9.99,2014
Dovetail Games,7.99,2014
Rebellion,3.99,2014
Big Pixel Studios,14.99,2014
Duaik Entretenimento,9.99,2014
Teyon,2.99,2014
Pictopotamus,34.99,2014
Freedom Factory,19.99,2014
Gameprix,0.0,2014
Idigicon,6.99,2007
Vr Designs,29.99,2011
Idigicon,6.99,2004
Idigicon,6.99,2006
Enitvare,4.99,2013
"Koei Tecmo Games Co., Ltd.",19.99,2014
"Koei Tecmo Games Co., Ltd.",13.99,2014
"Koei Tecmo Games Co., Ltd.",5.99,2014
"Koei Tecmo Games Co., Ltd.",15.99,2014
"Koei Tecmo Games Co., Ltd.",21.99,2014
Galaxytrail,6.99,2014
Rebellion,6.99,2014
Cuve Games,9.99,2014
Drinkbox Studios,14.99,2014
Chromatic Dream,3.99,2014
The Men Who Wear Many Hats,0.0,2014
"Smiteworks Usa, Llc",5.99,2014
Zojoi,14.99,2014
Excalibur,4.99,2014
Orion Games,3.99,2009
Eldon Harris,5.99,2014
Eldon Harris,14.99,2014
Colossal Games,9.99,2014
Asylum Entertainment,2.99,2003
Wonderful Tree Studio,4.99,2014
"Richmakegame,Colin Northway",9.99,2014
Capybara Games,14.99,2014
Microids,4.99,2001
Skygoblin,19.99,2014
Gammalateral,4.99,2014
"Capybara Games,6955",7.99,2014
4A Games,19.99,2014
4A Games,19.99,2014
Gabriel Priske,4.99,2014
"Gabriel Priske,Luke Thomas",0.99,2014
"Fromsoftware, Inc",9.99,2014
Ubisoft - San Francisco,4.99,2014
Xaviant,39.99,2014
Yorkshirerifles,19.99,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",5.99,2014
"Smiteworks Usa, Llc",4.99,2014
N3V Games,4.99,2014
N3V Games,2.99,2014
Tin Man Games,4.99,2014
"Koei Tecmo Games Co., Ltd.",2.99,2014
Exor Studios,0.99,2014
